"","ID","orderDate","title","newsletter","websiteDesign","paymentMethod","couponDiscount","purchaseValue","giftwrapping","throughAffiliate","shippingFees","dvd","blueray","vinyl","videogame","videogameDownload","tvEquiment","prodOthers","prodRemitted","prodSecondHand","returnCustomer"
"1",1,2014-12-23,"Mr","0","2","Current Account","1",2,"0","1","0",0,1,0,0,0,0,0,0,0,"0"
"2",3,2014-09-10,"Mr","0","1","Invoice","0",1,"0","0","1",0,0,0,0,0,0,0,0,0,"0"
"3",5,2014-08-30,"Mr","0","1","Cash","0",4,"0","0","0",0,0,1,0,0,0,0,0,0,"0"
"4",7,2015-01-12,"Mr","0","3","Cash","0",4,"0","1","0",1,0,0,0,0,0,0,0,0,"0"
"5",8,2014-09-26,"Mr","0","3","Cash","0",4,"0","1","0",2,0,0,0,0,0,0,0,0,"0"
"6",9,2014-07-17,"Mr","0","1","Credit Card","1",4,"0","0","0",4,0,0,0,0,0,0,0,0,"0"
"7",10,2014-08-24,"Mr","1","1","Invoice","0",4,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"8",11,2015-01-11,"Mrs","0","2","Invoice","0",5,"0","1","0",3,0,0,0,0,0,0,0,0,"0"
"9",12,2014-04-23,"Company","1","2","Current Account","1",1,"0","1","1",0,1,0,0,0,0,0,0,0,"0"
"10",13,2014-10-04,"Mr","0","2","Cash","0",3,"0","1","0",0,0,0,0,0,0,0,0,0,"0"
"11",14,2014-05-28,"Mrs","0","2","Invoice","0",4,"0","1","0",1,0,0,0,0,0,0,0,0,"0"
"12",15,2014-10-24,"Mr","0","3","Current Account","0",5,"0","1","0",0,0,0,0,0,0,0,0,0,"0"
"13",16,2014-04-24,"Company","0","1","Credit Card","0",3,"0","0","0",0,0,0,0,1,0,0,0,0,"0"
"14",17,2014-12-30,"Mr","0","1","Invoice","0",3,"0","0","1",0,0,0,0,0,0,0,0,0,"0"
"15",18,2015-01-11,"Mrs","0","1","Credit Card","0",3,"0","0","0",1,0,0,0,0,0,0,0,0,"0"
"16",19,2014-12-10,"Mrs","0","1","Invoice","0",1,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"17",20,2014-08-06,"Mr","0","1","Invoice","0",2,"0","0","1",1,0,0,0,0,0,0,0,0,"0"
"18",21,2014-10-25,"Mr","1","3","Credit Card","0",5,"0","1","0",4,0,0,0,0,0,0,0,0,"0"
"19",22,2014-11-11,"Mr","0","3","Cash","0",3,"0","1","0",1,0,0,0,0,0,0,0,0,"0"
"20",24,2015-01-21,"Mr","0","3","Invoice","0",3,"0","1","0",0,3,0,0,0,0,0,0,0,"0"
"21",25,2014-05-05,"Others","0","1","Current Account","0",3,"0","0","0",0,2,0,0,0,0,0,0,0,"0"
"22",26,2014-05-17,"Company","0","3","Invoice","0",4,"0","1","0",0,0,0,0,0,0,0,0,0,"0"
"23",27,2014-09-21,"Mr","0","3","Invoice","0",4,"0","1","0",0,0,0,0,0,0,0,0,0,"0"
"24",28,2014-06-08,"Mrs","0","1","Current Account","0",3,"0","0","1",1,0,0,0,0,0,0,0,0,"0"
"25",29,2014-09-15,"Mr","0","1","Invoice","1",1,"0","0","0",0,0,0,0,1,0,0,0,0,"0"
"26",31,2014-05-13,"Company","0","3","Credit Card","0",3,"0","1","0",0,0,0,0,0,0,0,0,0,"1"
"27",32,2014-11-18,"Mr","0","1","Current Account","0",1,"0","0","0",0,0,0,0,1,0,0,0,0,"0"
"28",33,2014-12-19,"Mrs","0","1","Invoice","0",4,"0","0","0",0,2,0,0,0,0,0,0,0,"1"
"29",35,2014-07-03,"Others","0","2","Invoice","1",1,"0","1","0",0,0,0,0,0,0,0,0,0,"0"
"30",36,2014-10-22,"Mr","0","3","Invoice","0",4,"0","1","0",2,0,0,0,0,0,0,0,0,"0"
"31",37,2014-05-15,"Mr","0","1","Cash","0",4,"0","0","0",2,0,0,0,0,0,0,0,0,"0"
"32",38,2015-01-07,"Mrs","0","1","Current Account","0",4,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"33",41,2015-01-06,"Mr","0","1","Current Account","0",2,"0","0","1",0,0,0,0,0,0,0,0,0,"0"
"34",42,2015-01-09,"Mrs","0","3","Invoice","0",3,"0","1","1",1,0,0,0,0,0,0,0,0,"0"
"35",44,2014-07-19,"Mr","0","1","Invoice","0",2,"0","0","1",1,0,0,0,0,0,0,0,1,"0"
"36",45,2014-09-17,"Others","0","1","Invoice","0",3,"0","0","0",1,0,0,0,0,0,0,0,0,"0"
"37",46,2014-10-26,"Mr","1","3","Invoice","0",5,"0","1","0",5,0,3,0,0,0,0,0,0,"1"
"38",47,2014-09-11,"Mr","0","3","Invoice","0",5,"0","1","0",2,0,0,0,0,0,0,0,0,"1"
"39",49,2014-09-03,"Mr","0","1","Cash","0",1,"0","0","0",0,0,0,0,0,0,0,1,0,"0"
"40",50,2014-12-20,"Mr","0","1","Invoice","0",3,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"41",51,2014-12-30,"Mrs","0","2","Current Account","1",5,"0","1","0",3,1,0,0,0,0,0,0,0,"0"
"42",52,2015-01-05,"Mrs","0","1","Invoice","1",4,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"43",53,2014-06-13,"Mr","0","1","Current Account","0",2,"0","0","1",0,0,0,0,0,0,0,0,0,"0"
"44",54,2014-11-10,"Mr","0","2","Current Account","1",2,"0","1","0",1,0,0,0,0,0,0,0,0,"0"
"45",55,2015-01-09,"Mrs","0","2","Credit Card","0",5,"0","1","0",0,0,0,0,0,0,0,0,0,"0"
"46",56,2014-06-20,"Company","1","2","Invoice","1",1,"0","1","0",0,3,0,0,0,0,0,0,0,"0"
"47",58,2014-12-25,"Mrs","1","1","Current Account","0",1,"0","0","0",0,0,0,0,0,0,0,1,0,"1"
"48",59,2014-07-08,"Mr","0","3","Cash","0",1,"0","1","0",0,0,0,1,0,0,0,0,0,"0"
"49",60,2014-12-13,"Company","0","3","Credit Card","0",5,"0","1","0",2,0,0,0,0,0,0,0,0,"0"
"50",61,2015-01-13,"Mrs","0","1","Cash","0",1,"0","0","0",1,0,0,0,0,0,0,0,0,"0"
"51",62,2014-10-12,"Mr","0","1","Invoice","0",3,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"52",63,2015-01-10,"Mr","0","1","Current Account","0",2,"0","0","1",1,0,0,0,0,0,0,0,0,"0"
"53",64,2014-11-10,"Mrs","1","1","Invoice","0",5,"0","0","0",3,0,0,0,0,0,0,0,0,"1"
"54",65,2014-12-24,"Others","0","1","Cash","0",4,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"55",67,2014-07-05,"Mrs","0","1","Invoice","0",3,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"56",68,2014-11-19,"Others","0","1","Credit Card","0",2,"0","0","1",0,0,0,0,0,0,0,0,1,"0"
"57",69,2014-12-25,"Mrs","0","1","Invoice","0",3,"0","0","0",2,0,0,0,0,0,0,0,0,"1"
"58",70,2015-01-03,"Mrs","0","1","Invoice","0",1,"0","0","1",2,0,0,0,0,0,0,0,0,"0"
"59",71,2014-05-12,"Others","0","1","Invoice","0",3,"0","0","0",2,0,0,0,0,0,0,0,0,"0"
"60",72,2015-01-17,"Mrs","0","1","Invoice","0",3,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"61",73,2015-01-20,"Mrs","1","1","Credit Card","0",3,"0","0","0",1,0,0,0,0,0,0,0,0,"0"
"62",74,2015-01-19,"Others","0","3","Cash","0",4,"0","1","0",1,0,0,0,0,0,0,0,0,"1"
"63",75,2014-07-08,"Mr","0","3","Invoice","0",2,"0","1","1",0,0,0,0,0,0,0,0,0,"0"
"64",76,2014-11-17,"Others","0","3","Invoice","0",5,"0","1","0",4,0,0,0,0,0,0,0,0,"1"
"65",77,2014-06-21,"Mrs","1","1","Invoice","0",1,"0","0","0",0,0,0,0,1,0,0,0,0,"0"
"66",78,2014-09-16,"Mrs","0","1","Current Account","0",4,"0","0","0",0,0,1,0,0,0,0,0,0,"0"
"67",79,2014-06-09,"Mr","0","1","Current Account","0",3,"0","0","0",2,0,0,0,0,0,0,0,0,"0"
"68",80,2014-11-17,"Mr","0","1","Invoice","0",4,"0","0","0",2,0,0,0,0,0,0,0,0,"1"
"69",81,2014-09-01,"Mrs","0","1","Invoice","0",3,"0","0","0",1,0,0,0,0,0,0,0,0,"0"
"70",83,2015-01-21,"Mrs","0","1","Credit Card","0",1,"0","0","0",0,0,0,0,1,0,0,0,0,"0"
"71",84,2014-09-27,"Mr","0","1","Current Account","0",3,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"72",85,2014-12-24,"Mrs","0","1","Credit Card","0",3,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"73",86,2014-05-05,"Company","1","1","Cash","0",4,"0","0","0",2,0,0,0,0,0,0,0,0,"0"
"74",87,2014-08-21,"Mr","0","3","Credit Card","0",4,"0","1","0",0,0,0,0,0,0,0,0,0,"0"
"75",88,2014-08-17,"Mr","0","1","Current Account","1",3,"0","0","0",1,2,0,0,0,0,0,0,0,"0"
"76",90,2014-08-22,"Mrs","0","1","Current Account","0",2,"0","0","1",0,0,0,0,0,0,0,0,1,"0"
"77",91,2014-07-29,"Others","0","1","Invoice","0",5,"0","0","0",3,0,0,0,0,0,0,0,0,"0"
"78",93,2014-10-29,"Mr","0","1","Invoice","0",3,"0","0","0",1,0,2,0,0,0,0,0,0,"1"
"79",94,2014-11-27,"Mr","0","2","Invoice","1",2,"0","1","0",2,0,0,0,0,0,0,0,0,"1"
"80",95,2014-05-26,"Mr","0","1","Invoice","1",4,"0","0","0",2,0,0,0,0,0,0,0,0,"0"
"81",96,2014-08-27,"Mr","0","1","Invoice","0",2,"0","0","0",0,0,0,0,1,0,0,0,0,"0"
"82",97,2014-05-22,"Mr","1","1","Invoice","1",3,"0","0","0",1,0,0,0,0,0,0,0,0,"0"
"83",98,2014-06-28,"Mr","1","3","Cash","0",3,"0","1","0",2,0,0,0,0,0,0,0,0,"0"
"84",99,2014-09-28,"Others","0","1","Invoice","1",1,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"85",100,2014-04-29,"Others","1","2","Invoice","0",3,"0","1","0",0,0,0,0,0,0,0,0,0,"0"
"86",101,2014-07-31,"Mr","0","1","Current Account","1",4,"0","0","0",5,0,0,0,0,0,0,0,0,"0"
"87",103,2015-01-05,"Mrs","0","1","Current Account","0",4,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"88",104,2014-12-25,"Mr","1","3","Invoice","0",5,"0","1","0",3,0,0,0,0,0,0,0,0,"0"
"89",105,2014-07-29,"Mr","1","1","Invoice","1",3,"0","0","0",0,3,0,0,0,0,0,0,0,"0"
"90",106,2014-06-10,"Mr","0","2","Invoice","1",1,"0","1","0",0,3,0,0,0,0,0,0,0,"0"
"91",107,2014-12-17,"Mrs","0","2","Invoice","1",1,"0","1","0",1,0,0,0,0,0,0,0,0,"0"
"92",108,2014-10-31,"Mrs","0","3","Current Account","0",3,"0","1","1",1,0,0,0,0,0,0,0,0,"0"
"93",109,2014-11-12,"Mr","0","1","Current Account","0",3,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
"94",110,2014-04-24,"Mrs","0","1","Invoice","0",3,"0","0","0",1,1,0,0,0,0,0,0,0,"0"
"95",113,2014-10-11,"Others","1","3","Cash","0",1,"0","1","0",1,0,0,0,0,0,0,0,0,"0"
"96",114,2014-07-09,"Mrs","1","1","Current Account","0",3,"0","0","0",0,0,1,0,0,0,0,0,0,"1"
"97",115,2014-09-06,"Others","1","2","Invoice","0",4,"0","1","0",1,0,0,0,0,0,0,0,0,"1"
"98",116,2014-11-30,"Mrs","0","1","Credit Card","0",2,"0","0","1",1,0,0,0,0,0,0,0,0,"0"
"99",118,2014-05-02,"Mrs","0","3","Cash","0",1,"0","1","0",1,0,0,0,0,0,0,0,0,"0"
"100",119,2014-09-30,"Mrs","0","1","Cash","0",1,"0","0","0",0,0,0,0,0,0,0,0,0,"0"
