customerID,nOrders,nItems,daysSinceLastOrder,margin,returnRatio,shareOwnBrand,shareVoucher,shareSale,gender,age,marginPerOrder,marginPerItem,itemsPerOrder,futureMargin
2,4,7,4,35.77,0.25,0.67,0.17,0,female,56,8.94,5.11,1.75,57.62
3,3,4,272,25.74,0.44,0.33,0,0.67,male,37,8.58,6.43,1.33,29.69
4,12,25,12,63.32,0.15,0.86,0.38,0.29,male,32,5.28,2.53,2.08,56.26
5,16,29,32,53.74,0.03,0.96,0.17,0.33,female,43,3.36,1.85,1.81,58.84
6,1,2,47,35.85,0,1,0,1,male,48,35.85,17.93,2,29.31
7,2,8,19,22.02,0.18,0,0.86,0.14,female,31,11.01,2.75,4,35.72
8,3,4,63,8.93,0,0.33,0.33,0,female,27,2.98,2.23,1.33,37.07
9,15,20,23,43.54,0.01,0.53,0.12,0.12,male,30,2.9,2.18,1.33,44.18
10,16,18,75,55.14,0.02,0.27,0.6,0.2,male,50,3.45,3.06,1.12,46.14
11,1,2,193,13.44,1,0,0,1,female,50,13.44,6.72,2,23
12,14,20,3,70.42,0.01,1,0.06,0.12,female,39,5.03,3.52,1.43,57.7
13,11,28,26,56.19,0.76,0.57,0.17,0,female,49,5.11,2.01,2.55,68.07
14,4,7,133,35.39,0.03,0,0.67,0.33,male,42,8.85,5.06,1.75,26.01
16,16,37,6,67.98,0.42,0.9,0.13,0.35,male,37,4.25,1.84,2.31,73.01
17,1,1,84,8.21,1,0,1,0,female,28,8.21,8.21,1,9.8
18,13,30,0,44.26,0.16,0.28,0.12,0,male,31,3.4,1.48,2.31,52.2
19,26,50,17,63.07,0.01,0.55,0.24,0.02,male,35,2.43,1.26,1.92,61.11
20,4,10,17,22.56,0.56,0.62,0.38,0,male,63,5.64,2.26,2.5,10.65
21,2,4,49,28.55,0.44,0.33,0.67,1,female,53,14.28,7.14,2,46.76
22,3,4,176,18.43,0.44,0,0.33,0.33,female,41,6.14,4.61,1.33,22.42
23,4,5,3,33.52,0.06,1,1,0,male,23,8.38,6.7,1.25,20.01
24,14,19,9,51.81,0.04,0.38,0.62,0.44,female,45,3.7,2.73,1.36,44.81
25,6,19,3,46.94,0.32,0,0.69,0,male,52,7.82,2.47,3.17,23.8
26,1,1,160,4.13,1,0,1,0,female,33,4.13,4.13,1,23.36
27,3,5,82,31.37,0.25,0.25,0.5,0.5,female,35,10.46,6.27,1.67,12.95
28,10,35,16,56.56,0.03,0.76,0.24,0,male,30,5.66,1.62,3.5,59.26
29,10,14,121,44.03,0.56,0.33,0.75,0,female,44,4.4,3.15,1.4,44.3
30,7,7,6,37.11,0.69,0,0.67,0.5,female,57,5.3,5.3,1,40.56
31,2,5,301,35.54,0,0.5,0.25,0,male,42,17.77,7.11,2.5,47.56
32,6,8,53,39.49,0.33,0,0.86,0,female,50,6.58,4.94,1.33,37.75
