customerID,nOrders,nItems,daysSinceLastOrder,margin,returnRatio,shareOwnBrand,shareVoucher,shareSale,gender,age,marginPerOrder,marginPerItem,itemsPerOrder
2,16,40,2,57.62,0.18,0.67,0.52,0.18,female,52,3.6,1.44,2.5
3,1,5,124,29.69,1,0.5,0,0,male,48,29.69,5.94,5
4,15,30,68,56.26,0.16,1,0.48,0.28,male,43,3.75,1.88,2
5,23,41,103,58.84,0.03,0.74,0.24,0.29,female,50,2.56,1.44,1.78
6,2,4,104,29.31,0,1,1,0,male,45,14.65,7.33,2
7,6,10,41,35.72,0.06,0,0.62,0.38,female,35,5.95,3.57,1.67
8,9,14,5,37.07,0.11,0.08,0.58,0,female,24,4.12,2.65,1.56
9,10,13,3,44.18,0.01,0.82,0.18,0,male,28,4.42,3.4,1.3
10,13,22,41,46.14,0,0.78,0.44,0.11,male,53,3.55,2.1,1.69
11,1,2,41,23,1,1,0,1,female,52,23,11.5,2
12,10,26,127,57.7,0.01,0.5,0.23,0.09,female,35,5.77,2.22,2.6
13,14,46,16,68.07,0.75,0.29,0.11,0,female,33,4.86,1.48,3.29
14,2,6,76,26.01,0.04,0,0.8,1,male,36,13.01,4.34,3
16,31,59,1,73.01,0.17,1,0.27,0.27,male,39,2.36,1.24,1.9
17,1,1,55,9.8,1,0,1,0,female,39,9.8,9.8,1
18,9,24,3,52.2,0.06,0.7,0.2,0.6,male,18,5.8,2.18,2.67
19,24,52,24,61.11,0,0.49,0.09,0,male,41,2.55,1.18,2.17
20,2,7,106,10.65,0.44,0,0.67,0,male,57,5.33,1.52,3.5
21,2,2,147,46.76,0.25,1,1,0,female,55,23.38,23.38,1
22,3,4,216,22.42,0.44,0,0,0.33,female,36,7.47,5.61,1.33
23,1,1,332,20.01,0,1,1,0,male,33,20.01,20.01,1
24,13,19,4,44.81,0.06,0.44,0.69,0.19,female,34,3.45,2.36,1.46
25,1,2,309,23.8,0,0,0.5,0,male,38,23.8,11.9,2
26,2,4,177,23.36,0.44,0,1,0,female,40,11.68,5.84,2
27,2,5,98,12.95,0.25,0,0.5,0.5,female,28,6.47,2.59,2.5
28,19,55,22,59.26,0.03,0.96,0.46,0,male,20,3.12,1.08,2.89
29,10,18,18,44.3,0.22,0.27,0.87,0,female,49,4.43,2.46,1.8
30,11,22,5,40.56,0.11,0,1,0,female,61,3.69,1.84,2
31,6,49,83,47.56,0,0.02,0.93,0,male,41,7.93,0.97,8.17
32,9,19,30,37.75,0.1,0,0.81,0,female,58,4.19,1.99,2.11
33,21,30,41,43.99,0.13,0,0.36,0.48,male,43,2.09,1.47,1.43
35,13,37,13,46.72,0.15,0.68,0.58,0,female,64,3.59,1.26,2.85
36,16,53,81,59.68,0.12,0.25,0.39,0.41,female,39,3.73,1.13,3.31
37,7,11,2,30.69,0.6,0.22,0.22,0.33,female,48,4.38,2.79,1.57
38,8,12,115,35.87,0.04,0.2,0.9,0,female,41,4.48,2.99,1.5
39,13,18,1,55.77,0.28,0.93,0.6,0,male,29,4.29,3.1,1.38
40,11,23,26,49.87,1,0.58,0.53,0,female,40,4.53,2.17,2.09
41,8,20,33,52.86,0.22,0.53,0.53,0,male,38,6.61,2.64,2.5
42,21,49,9,54.53,0.04,0.2,0.46,0.46,male,40,2.6,1.11,2.33
43,4,14,193,39.11,0.25,0,0.33,1,female,42,9.78,2.79,3.5
