id,nItems,mostFreqStore,mostFreqCat,nCats,preferredBrand,nBrands,nPurch,salesLast3Mon,salesThisMon,daysSinceLastPurch,meanItemPrice,meanShoppingCartValue,customerDuration
1,1469,Stockton,Alcohol,72,Veina,517,82,2741.97,1283.87,1,1.86655547991831,33.4386585365854,821
2,1463,Stockton,Alcohol,73,Veina,482,88,2790.58,1242.6,1,1.90743677375256,31.7111363636364,657
3,262,Colorado Springs,Shoes,55,Bo,126,56,1529.55,682.57,1,5.83797709923664,27.3133928571429,548
4,293,Colorado Springs,Bakery,50,Veina,108,43,1765.81,730.23,1,6.02665529010239,41.0653488372093,596
5,108,Colorado Springs,Beverages,32,Bo,79,18,1180,552.54,12,10.9259259259259,65.5555555555556,603
6,216,Boston,Alcohol,41,Bo,98,35,1345.29,662.52,2,6.22819444444444,38.4368571428571,673
7,174,Columbus,Packaged food,36,Bo,78,34,1338.81,621.46,2,7.69431034482759,39.3767647058824,612
8,122,Seattle,Shoes,31,Bo,62,12,1256.96,367.07,4,10.3029508196721,104.746666666667,517
9,204,Jersey,Bakery,41,Bo,99,26,1963.6,780.78,14,9.62549019607843,75.5230769230769,709
10,308,Seattle,Alcohol,52,Bo,103,33,1584.59,695.52,1,5.14477272727273,48.0178787878788,480
11,241,Jersey,Alcohol,45,Bo,84,23,1330.16,571.97,7,5.51933609958506,57.8330434782609,484
12,550,Seattle,Frozen food,60,Bo,203,22,2069.06,965.89,3,3.76192727272727,94.0481818181818,697
13,135,Jersey,Bakery,41,Bo,74,20,1346.79,530.68,6,9.97622222222222,67.3395,550
14,449,Boston,Bakery,60,Bo,161,26,1861.7,888.79,1,4.14632516703786,71.6038461538461,600
15,265,Jersey,Alcohol,51,Bo,131,55,1376.72,611.5,2,5.19516981132075,25.0312727272727,829
16,50,Seattle,Packaged food,21,Veina,31,7,949.93,340.59,12,18.9986,135.704285714286,528
17,80,Jersey,Packaged food,23,Bo,37,20,1206.89,655.29,5,15.086125,60.3445,709
18,209,Jersey,Fresh food,40,Medeia,93,16,1560.92,332.05,4,7.46851674641148,97.5575,183
19,409,Boston,Packaged food,56,Bo,170,18,1792.54,881.29,2,4.38273838630807,99.5855555555556,828
20,176,Boston,Alcohol,39,Bo,85,26,1414.07,663.19,3,8.03448863636364,54.3873076923077,549
21,335,Boston,Baby,51,Moone,133,24,1668.62,811.87,1,4.9809552238806,69.5258333333333,778
22,44,Boston,Shoes,19,Nilima,23,5,772.84,306.84,7,17.5645454545455,154.568,573
23,156,Jersey,Beverages,50,Medeia,95,20,1276.88,623.69,2,8.18512820512821,63.844,673
24,17,San Diego,Baby,9,Veina,13,5,642.86,242.04,14,37.8152941176471,128.572,521
25,112,San Diego,Alcohol,38,Bo,69,9,1153.54,449.25,4,10.2994642857143,128.171111111111,786
27,21,Boston,Baby,13,Veina,18,6,729.23,416.5,4,34.7252380952381,121.538333333333,779
28,117,Boston,Pets,35,Moone,66,8,1323.63,482.09,22,11.3130769230769,165.45375,239
29,218,Columbus,Baby,48,Bo,87,20,1417.35,606.94,1,6.50160550458716,70.8675,662
30,34,Columbus,Baby,16,Veina,20,10,784.78,211.64,2,23.0817647058824,78.478,343
31,156,Columbus,Frozen food,47,Medeia,79,16,1364.5,490.31,2,8.74679487179487,85.28125,554
32,21,Boston,Baby,13,Bo,15,1,631.28,519.84,20,30.0609523809524,631.28,761
33,113,Seattle,Baby,32,Nilima,50,21,1100.06,401.74,4,9.73504424778761,52.3838095238095,621
34,114,Seattle,Alcohol,26,Nilima,57,17,1180.62,529,4,10.3563157894737,69.4482352941176,640
36,213,Seattle,Packaged food,44,Bo,98,19,1599.87,529.33,9,7.51112676056338,84.2036842105263,382
37,307,Seattle,Alcohol,54,Medeia,146,14,1583.73,668.81,1,5.15872964169381,113.123571428571,737
39,56,Colorado Springs,Baby,24,Nilima,21,10,879.2,364.08,2,15.7,87.92,689
