id,nItems,mostFreqStore,mostFreqCat,nCats,preferredBrand,nBrands,nPurch,salesLast3Mon,daysSinceLastPurch,meanItemPrice,meanShoppingCartValue,customerDuration
1,1401,Stockton,Alcohol,73,Veina,483,85,2712.99,3,1.93646680942184,31.9175294117647,852
2,1461,Stockton,Alcohol,74,Veina,484,86,2744.57,2,1.87855578370979,31.9136046511628,688
3,262,Colorado Springs,Shoes,55,Bo,131,55,1527.1,1,5.82862595419847,27.7654545454545,579
4,250,Colorado Springs,Bakery,43,Veina,93,44,1675.11,2,6.70044,38.0706818181818,627
5,149,Colorado Springs,Packaged food,36,Bo,90,27,1265.18,4,8.49114093959732,46.8585185185185,634
6,208,Boston,Shoes,35,Bo,82,33,1353.23,1,6.50591346153846,41.0069696969697,704
7,166,Columbus,Packaged food,39,Nilima,76,34,1336.73,7,8.05259036144578,39.3155882352941,643
9,188,Jersey,Bakery,43,Bo,92,26,1803.83,1,9.59484042553192,69.3780769230769,740
10,295,Seattle,Alcohol,55,Bo,100,30,1565.14,2,5.3055593220339,52.1713333333333,511
11,224,Jersey,Alcohol,40,Bo,80,22,1288.37,2,5.75165178571429,58.5622727272727,515
12,560,Seattle,Packaged food,58,Bo,209,27,2084.83,1,3.72291071428571,77.2159259259259,728
13,131,Jersey,Bakery,39,Bo,69,21,1327.66,2,10.1348091603053,63.2219047619048,581
14,528,Boston,Bakery,61,Bo,164,27,1921.72,2,3.63962121212121,71.1748148148148,631
15,260,Jersey,Beverages,55,Bo,129,60,1364.99,1,5.24996153846154,22.7498333333333,860
16,50,Seattle,Packaged food,19,Veina,30,7,922.7,7,18.454,131.814285714286,559
17,118,Jersey,Shoes,34,Medeia,62,22,1236.86,1,10.4818644067797,56.2209090909091,740
18,111,Jersey,Fresh food,31,Nilima,67,14,1288.91,12,11.6118018018018,92.065,214
19,442,Boston,Packaged food,61,Bo,181,19,1816.22,1,4.10909502262443,95.5905263157895,859
20,183,Boston,Alcohol,42,Bo,90,25,1430.65,6,7.81775956284153,57.226,580
21,317,Boston,Baby,47,Moone,130,24,1680.18,5,5.3002523659306,70.0075,809
22,27,Boston,Shoes,14,Bo,15,5,629.64,19,23.32,125.928,604
23,195,Jersey,Beverages,50,Medeia,106,23,1370.05,4,7.02589743589744,59.5673913043478,704
24,19,San Diego,Baby,9,Veina,13,6,679.35,3,35.7552631578947,113.225,552
25,108,San Diego,Alcohol,38,Bo,65,9,1161.15,2,10.7513888888889,129.016666666667,817
27,36,Boston,Baby,20,Veina,28,8,854.84,2,23.7455555555556,106.855,810
28,90,Boston,Pets,33,Bo,53,6,1173.3,10,13.0366666666667,195.55,270
29,182,Columbus,Shoes,40,Bo,78,17,1288.01,4,7.07697802197802,75.7652941176471,693
30,36,Columbus,Baby,16,Veina,19,11,792.88,4,22.0244444444444,72.08,374
31,103,Columbus,Frozen food,39,Medeia,58,16,1199.13,3,11.6420388349515,74.945625,585
32,59,Boston,Packaged food,27,Bo,43,4,898.64,4,15.231186440678,224.66,792
33,82,Seattle,Fresh food,26,Nilima,40,21,1049.72,4,12.8014634146341,49.9866666666667,652
34,121,Seattle,Beverages,24,Veina,53,22,1209.26,4,9.99388429752066,54.9663636363636,671
35,11,Seattle,Baby,4,Veina,7,7,647.81,48,58.8918181818182,92.5442857142857,854
36,165,Seattle,Packaged food,43,Bo,86,16,1459.61,2,8.84612121212121,91.225625,413
37,254,Seattle,Alcohol,56,Nilima,128,13,1494.4,3,5.88346456692913,114.953846153846,768
39,66,Colorado Springs,Baby,23,Nilima,19,13,893.38,5,13.5360606060606,68.7215384615385,720
40,108,Orlando,Alcohol,31,Nilima,70,15,1001.4,3,9.27222222222222,66.76,619
41,92,Seattle,Frozen food,33,Veina,63,20,1106.24,1,12.024347826087,55.312,673
42,135,Orlando,Alcohol,27,Veina,54,16,1208.99,3,8.95548148148148,75.561875,803
44,173,Orlando,Clothes,38,Bo,78,6,1418.51,6,8.19947976878613,236.418333333333,1005
45,193,Jersey,Alcohol,49,Bo,85,8,1356.46,7,7.02829015544041,169.5575,736
46,125,Boston,Beverages,38,Bo,62,18,1162.51,3,9.30008,64.5838888888889,708
47,134,Jersey,Alcohol,24,Bo,56,24,1447.39,1,10.8014179104478,60.3079166666667,850
48,168,Boston,Shoes,39,Bo,80,22,1580.51,3,9.40779761904762,71.8413636363636,570
49,107,Boston,Shoes,20,Bo,46,30,1155.54,1,10.7994392523364,38.518,862
50,3,Boston,Shoes,2,Veina,3,2,343.13,8,114.376666666667,171.565,651
51,366,Seattle,Bakery,52,Bo,123,62,1851.35,1,5.05833333333333,29.8604838709677,670
52,193,Jersey,Baby,47,Moone,89,8,1278.51,4,6.62440414507772,159.81375,938
53,234,Colorado Springs,Shoes,49,Nilima,106,32,1404.45,2,6.00192307692308,43.8890625,582
54,69,Boston,Shoes,28,Veina,49,3,1095.15,7,15.8717391304348,365.05,754
55,410,Boston,Alcohol,49,Bo,135,15,1805.01,8,4.40246341463415,120.334,831
56,140,San Diego,Packaged food,32,Veina,63,27,1317.6,2,9.41142857142857,48.8,657
57,321,Boston,Fresh food,49,Nilima,128,33,2010.78,1,6.26411214953271,60.9327272727273,813
58,24,San Diego,Fresh food,14,Veina,21,6,589.28,5,24.5533333333333,98.2133333333333,787
59,70,Colorado Springs,Alcohol,23,Bo,31,25,1100,3,15.7142857142857,44,817
60,56,Honolulu,Shoes,24,Nilima,34,10,1088.99,23,19.44625,108.899,535
61,100,Columbus,Baby,31,Bo,52,27,1006.34,8,10.0634,37.2718518518519,501
62,127,Columbus,Baby,33,Bo,63,27,1184.46,2,9.32645669291339,43.8688888888889,771
63,137,Denver,Packaged food,37,Bo,72,16,1415.7,2,10.3335766423358,88.48125,603
64,249,Honolulu,Shoes,42,Bo,99,47,1521.15,1,6.10903614457831,32.3648936170213,691
65,68,Columbus,Frozen food,23,Bo,35,19,960.96,5,14.1317647058824,50.5768421052632,579
66,63,Colorado Springs,Packaged food,26,Bo,36,8,870.06,7,13.8104761904762,108.7575,756
67,188,Colorado Springs,Shoes,48,Bo,96,12,1451.5,2,7.72074468085106,120.958333333333,684
68,270,Denver,Alcohol,48,Nilima,120,24,1525.43,3,5.64974074074074,63.5595833333333,733
69,169,Colorado Springs,Baby,41,Bo,70,12,1229.56,2,7.27550295857988,102.463333333333,31
70,308,Seattle,Bakery,41,Bo,70,51,1621.34,1,5.26409090909091,31.7909803921569,742
71,429,Jersey,Bakery,55,Bo,186,41,2059.16,2,4.79990675990676,50.2234146341463,568
72,98,Boston,Shoes,30,Nilima,45,4,1142.87,25,11.6619387755102,285.7175,567
73,320,Seattle,Frozen food,55,Bo,136,38,1713.85,5,5.35578125,45.1013157894737,679
74,36,Boston,Baby,15,Veina,23,7,806.39,4,22.3997222222222,115.198571428571,468
75,91,Boston,Clothes,24,Bo,59,20,1182.78,2,12.9975824175824,59.139,743
76,18,Denver,Alcohol,8,Veina,13,3,562.24,1,31.2355555555556,187.413333333333,749
77,192,Boston,Shoes,41,Bo,109,25,1449.36,13,7.54875,57.9744,635
79,42,Columbus,Baby,22,Bo,33,16,932.33,2,22.1983333333333,58.270625,682
80,71,Seattle,Alcohol,22,Bo,42,21,977.26,6,13.7642253521127,46.5361904761905,549
81,228,Seattle,Shoes,41,Veina,107,18,1362.93,1,5.97776315789474,75.7183333333333,704
82,161,Boston,Alcohol,40,Bo,85,26,1358.4,1,8.43726708074534,52.2461538461539,640
83,30,Boston,Shoes,11,Kellest,15,13,736.17,3,24.539,56.6284615384615,814
84,106,Colorado Springs,Packaged food,30,Bo,45,20,849.36,2,8.01283018867925,42.468,730
85,20,San Diego,Alcohol,13,Bo,15,5,760.71,46,38.0355,152.142,557
86,151,Boston,Shoes,35,Nilima,72,40,1299.13,7,8.60350993377484,32.47825,870
87,358,Boston,Shoes,56,Bo,160,32,1651,3,4.61173184357542,51.59375,423
88,38,San Diego,Baby,19,Veina,30,11,791.27,2,20.8228947368421,71.9336363636364,580
89,264,Boston,Packaged food,43,Veina,109,46,1675,1,6.34469696969697,36.4130434782609,664
90,103,Boston,Packaged food,24,Bo,50,22,1028.97,3,9.99,46.7713636363636,771
91,67,Orlando,Baby,25,Veina,42,9,1057.46,3,15.7829850746269,117.495555555556,569
92,271,Denver,Bakery,48,Bo,117,42,1708.32,1,6.30376383763838,40.6742857142857,916
93,115,Denver,Baby,34,Nilima,61,6,1381.74,34,12.0151304347826,230.29,454
94,196,Boston,Baby,44,Bo,100,18,1541.21,8,7.86331632653061,85.6227777777778,783
96,39,Boston,Alcohol,17,Bo,22,5,886.79,15,22.7382051282051,177.358,382
99,93,Columbus,Alcohol,29,Bo,46,16,1072.72,10,11.534623655914,67.045,663
100,557,Seattle,Frozen food,64,Bo,216,40,2003.32,1,3.59662477558348,50.083,492
101,228,Boston,Baby,45,Nilima,97,48,1383.97,1,6.07004385964912,28.8327083333333,733
102,101,Boston,Bakery,29,Nilima,61,32,1347.11,1,13.3377227722772,42.0971875,485
103,257,Boston,Baby,37,Bo,71,55,1439.38,1,5.60070038910506,26.1705454545455,705
104,120,Honolulu,Shoes,32,Bo,67,22,1123.4,6,9.36166666666667,51.0636363636364,696
105,156,Boston,Alcohol,32,Bo,58,24,1253.82,2,8.03730769230769,52.2425,428
106,163,Boston,Alcohol,39,Nilima,97,15,1260.92,4,7.73570552147239,84.0613333333333,855
107,666,Boston,Alcohol,57,Bo,172,57,1909.69,1,2.8674024024024,33.5033333333333,522
108,182,Boston,Alcohol,33,Bo,78,37,1498.17,1,8.2317032967033,40.4910810810811,789
109,39,Boston,Baby,17,Bo,24,9,869.09,15,22.284358974359,96.5655555555556,465
110,140,Seattle,Alcohol,36,Bo,71,15,1297.58,4,9.26842857142857,86.5053333333333,851
111,89,Jersey,Packaged food,32,Bo,61,21,1131.57,11,12.7142696629213,53.8842857142857,582
112,71,Columbus,Bakery,37,Bo,47,4,1018.41,7,14.3438028169014,254.6025,573
113,192,Jersey,Baby,45,Medeia,102,17,1501.37,3,7.81963541666667,88.3158823529412,715
114,19,Columbus,Baby,9,Veina,12,9,682.63,11,35.9278947368421,75.8477777777778,679
115,432,Seattle,Frozen food,51,Bo,162,53,1750.73,3,4.05261574074074,33.032641509434,570
116,216,Colorado Springs,Alcohol,48,Bo,98,24,1379.28,6,6.38555555555556,57.47,819
117,205,Boston,Packaged food,43,Bo,96,30,1419.58,2,6.92478048780488,47.3193333333333,726
118,131,Jersey,Shoes,39,Medeia,76,28,1285.98,4,9.81664122137405,45.9278571428571,466
119,82,Seattle,Packaged food,18,Kellest,30,13,1140.9,2,13.9134146341463,87.7615384615385,694
120,134,Orlando,Alcohol,37,Bo,74,10,1130.19,12,8.43425373134328,113.019,818
121,160,Boston,Frozen food,44,Bo,84,23,1574.8,6,9.8425,68.4695652173913,762
122,209,San Diego,Baby,37,Veina,77,9,1305.58,1,6.24679425837321,145.064444444444,708
123,278,Boston,Baby,34,Bo,82,47,1389.35,1,4.9976618705036,29.5606382978723,818
124,206,Jersey,Shoes,34,Veina,58,11,1562.5,2,7.58495145631068,142.045454545455,791
125,98,Seattle,Frozen food,28,Nilima,57,13,1294.96,12,13.2138775510204,99.6123076923077,623
126,307,Seattle,Alcohol,45,Nilima,112,19,1607.7,2,5.23680781758958,84.6157894736842,672
127,70,Seattle,Baby,30,Bo,44,12,996.19,4,14.2312857142857,83.0158333333333,505
128,133,Jersey,Packaged food,37,Veina,75,14,1352.88,3,10.172030075188,96.6342857142857,702
129,74,Denver,Baby,25,Bo,48,18,947.7,1,12.8067567567568,52.65,703
130,258,Columbus,Packaged food,47,Bo,120,40,1500.5,2,5.81589147286822,37.5125,550
131,258,Columbus,Frozen food,42,Medeia,88,64,1664.91,1,6.45313953488372,26.01421875,526
132,145,Denver,Baby,32,Bo,53,16,1294.56,1,8.928,80.91,970
133,149,Colorado Springs,Shoes,35,Bo,55,21,1379.97,2,9.26154362416107,65.7128571428571,778
134,203,Denver,Frozen food,44,Bo,80,25,1366.13,11,6.72970443349754,54.6452,616
135,2,Columbus,Alcohol,2,Veina,2,2,375.44,5,187.72,187.72,578
136,208,Seattle,Alcohol,36,Bo,96,31,1468.86,3,7.06182692307692,47.3825806451613,874
137,131,Orlando,Shoes,39,Nilima,67,16,1178.02,7,8.99251908396947,73.62625,790
138,238,Columbus,Bakery,38,Bo,83,28,1555.03,3,6.53373949579832,55.5367857142857,667
139,95,Columbus,Clothes,33,Bo,54,9,1064.51,3,11.2053684210526,118.278888888889,713
140,106,Columbus,Shoes,32,Bo,52,27,1109.27,1,10.4648113207547,41.0840740740741,643
141,16,Boston,Baby,11,Nilima,12,3,566.09,63,35.380625,188.696666666667,778
142,256,Columbus,Alcohol,41,Nilima,118,25,1522.52,8,5.94734375,60.9008,476
143,348,Columbus,Shoes,51,Nilima,133,22,1735.42,6,4.98683908045977,78.8827272727273,721
144,174,Columbus,Alcohol,43,Bo,86,28,1345.84,6,7.73471264367816,48.0657142857143,523
145,38,Honolulu,Baby,19,Bo,26,10,731,9,19.2368421052632,73.1,685
146,146,Columbus,Frozen food,36,Bo,65,10,1175.08,7,8.04849315068493,117.508,771
147,99,Orlando,Baby,35,Bo,59,6,1141.33,10,11.5285858585859,190.221666666667,877
148,205,Columbus,Baby,48,Bo,83,29,1476.88,1,7.20429268292683,50.9268965517241,606
149,287,Columbus,Baby,45,Bo,116,53,2049.53,1,7.14121951219512,38.6703773584906,724
150,11,Seattle,Frozen food,5,Medeia,8,4,560.7,2,50.9727272727273,140.175,707
151,177,Seattle,Packaged food,39,Nilima,92,10,1467.21,2,8.2893220338983,146.721,808
152,11,Orlando,Packaged food,8,Veina,7,9,571.68,1,51.9709090909091,63.52,745
153,148,Columbus,Bakery,32,Bo,78,14,1513.03,6,10.2231756756757,108.073571428571,616
154,33,Orlando,Alcohol,14,Veina,22,4,736.25,25,22.3106060606061,184.0625,417
155,51,Seattle,Beverages,14,Nilima,25,17,845.05,12,16.5696078431373,49.7088235294118,635
156,23,Orlando,Baby,12,Bo,18,2,743.2,56,32.3130434782609,371.6,663
157,98,Columbus,Alcohol,27,Bo,49,14,970.5,1,9.9030612244898,69.3214285714286,591
158,329,Denver,Shoes,50,Bo,122,28,1601.41,4,4.86750759878419,57.1932142857143,652
159,253,San Diego,Shoes,51,Bo,112,30,1542.97,8,6.09869565217391,51.4323333333333,563
160,301,Colorado Springs,Packaged food,50,Nilima,145,33,1732.49,2,5.75578073089701,52.499696969697,579
161,71,Columbus,Bakery,33,Bo,39,25,1104.28,1,15.5532394366197,44.1712,720
162,239,Columbus,Shoes,41,Nilima,117,34,1515.97,1,6.34297071129707,44.5873529411765,727
163,45,Denver,Packaged food,18,Alekto,32,5,965.09,11,21.4464444444444,193.018,789
164,586,Stockton,Alcohol,61,Veina,182,33,1822.64,3,3.11030716723549,55.2315151515152,846
165,96,Stockton,Alcohol,33,Alekto,66,13,1147.97,10,11.9580208333333,88.3053846153846,783
166,116,Orlando,Shoes,43,Bo,60,11,1243.88,3,10.7231034482759,113.08,617
167,419,Seattle,Shoes,53,Bo,182,55,1924.71,2,4.5935799522673,34.9947272727273,570
168,183,Columbus,Frozen food,36,Bo,55,18,1286.27,5,7.02879781420765,71.4594444444444,642
169,129,Boston,Pets,39,Bo,58,9,1364.5,1,10.577519379845,151.611111111111,778
170,83,Honolulu,Alcohol,26,Nilima,54,20,1060.12,14,12.7725301204819,53.006,665
171,173,Orlando,Alcohol,39,Bo,101,22,1351.97,4,7.81485549132948,61.4531818181818,745
172,179,Seattle,Bakery,29,Nilima,89,13,1589.51,13,8.87994413407821,122.27,549
173,184,Colorado Springs,Alcohol,47,Nilima,91,14,1362.83,5,7.4066847826087,97.345,660
174,363,Jersey,Shoes,57,Medeia,140,23,1693.66,2,4.66573002754821,73.6373913043478,783
175,96,Boston,Alcohol,26,Veina,41,9,1089.77,1,11.3517708333333,121.085555555556,347
176,366,San Diego,Beverages,53,Bo,159,15,1602.67,4,4.37887978142076,106.844666666667,793
177,289,Denver,Alcohol,45,Bo,112,12,1360.93,3,4.70910034602076,113.410833333333,779
178,67,Colorado Springs,Baby,23,Veina,31,19,1019.33,7,15.2138805970149,53.6489473684211,926
179,412,Columbus,Shoes,51,Bo,163,35,1708.06,1,4.14577669902913,48.8017142857143,535
180,56,Boston,Baby,27,Bo,36,13,878.34,1,15.6846428571429,67.5646153846154,764
181,184,Boston,Packaged food,34,Katram,91,27,1471.3,1,7.99619565217391,54.4925925925926,759
182,160,Jersey,Clothes,33,Veina,82,22,1197.71,1,7.4856875,54.4413636363636,651
183,153,Jersey,Frozen food,40,Bo,70,13,1244.07,4,8.13117647058824,95.6976923076923,646
184,197,Boston,Alcohol,41,Bo,98,29,1361.45,4,6.91091370558376,46.9465517241379,854
185,429,Colorado Springs,Bakery,44,Nilima,161,67,2022.61,2,4.71470862470862,30.1882089552239,869
186,226,Honolulu,Frozen food,49,Bo,128,21,1499.75,5,6.63606194690265,71.4166666666667,722
187,271,Boston,Pets,43,Bo,107,13,1395.23,4,5.14845018450185,107.325384615385,728
188,621,Honolulu,Alcohol,63,Bo,199,24,1862.19,2,2.99869565217391,77.59125,855
189,397,Denver,Alcohol,46,Moone,170,25,1704.57,2,4.29362720403023,68.1828,645
190,107,Orlando,Packaged food,37,Nilima,73,11,1155.53,4,10.7993457943925,105.048181818182,625
191,25,San Diego,Clothes,16,Tanvi,21,4,1767.95,44,70.718,441.9875,608
192,108,Denver,Frozen food,36,Bo,49,14,1084.47,5,10.0413888888889,77.4621428571429,683
193,46,Columbus,Baby,16,Nilima,28,11,777.69,6,16.9063043478261,70.6990909090909,725
195,209,Columbus,Baby,48,Bo,96,28,1484.5,2,7.10287081339713,53.0178571428571,780
196,147,Honolulu,Frozen food,29,Medeia,60,30,1294.82,1,8.80829931972789,43.1606666666667,739
198,159,Seattle,Alcohol,35,Bo,67,13,1396.25,5,8.7814465408805,107.403846153846,493
199,84,Columbus,Shoes,32,Bo,53,5,1104.96,26,13.1542857142857,220.992,573
200,88,Seattle,Bakery,9,Veina,10,69,1212.98,1,13.7838636363636,17.5794202898551,791
202,355,San Diego,Alcohol,48,Bo,125,44,1641.1,1,4.62281690140845,37.2977272727273,536
203,48,Seattle,Pets,29,Bo,34,12,991.83,14,20.663125,82.6525,725
204,184,Honolulu,Bakery,43,Bo,76,18,1349.54,3,7.33445652173913,74.9744444444444,439
205,185,Denver,Bakery,38,Veina,72,27,1276.13,5,6.898,47.2640740740741,703
207,76,Seattle,Baby,29,Bo,49,20,1179.92,3,15.5252631578947,58.996,643
208,391,Seattle,Alcohol,57,Bo,174,35,1881.37,4,4.81168797953964,53.7534285714286,874
209,248,Orlando,Baby,51,Bo,114,12,1602.19,9,6.4604435483871,133.515833333333,643
210,238,Colorado Springs,Baby,52,Bo,94,29,1575.28,3,6.61882352941176,54.32,515
211,414,Boston,Alcohol,53,Nilima,175,37,1817.25,2,4.38949275362319,49.1148648648649,800
212,143,Jersey,Fresh food,41,Medeia,85,18,1283.96,2,8.97874125874126,71.3311111111111,584
213,124,Boston,Alcohol,27,Bo,64,15,1194.45,4,9.63266129032258,79.63,638
214,144,Denver,Shoes,38,Bo,64,18,1236.94,2,8.58986111111111,68.7188888888889,536
215,262,Honolulu,Beverages,49,Bo,128,48,1402.83,1,5.35431297709924,29.225625,617
216,33,Seattle,Baby,11,Veina,11,7,936.91,15,28.3912121212121,133.844285714286,452
217,139,Boston,Pets,36,Bo,78,29,1139.89,1,8.20064748201439,39.3065517241379,688
218,238,Boston,Alcohol,39,Bo,88,22,1456.38,4,6.11924369747899,66.1990909090909,783
