daysSinceFirstPurch,shoppingCartValue,gender,voucher,returned,boughtAgain
37,33.44,male,0,0,0
63,31.71,male,1,0,1
48,27.31,female,0,0,0
17,41.07,male,0,0,1
53,65.56,female,0,0,0
11,38.44,female,0,0,1
22,39.38,female,0,0,1
16,104.75,female,1,0,1
74,75.52,female,0,0,0
44,48.02,female,0,0,1
19,57.83,female,0,0,1
18,94.05,female,1,0,0
45,67.34,female,0,1,0
73,71.6,female,0,0,0
9,25.03,female,0,0,1
59,135.7,male,1,0,1
54,60.34,female,0,0,1
65,97.56,male,0,0,1
36,99.59,female,0,1,1
39,54.39,female,0,0,1
47,69.53,male,0,0,1
30,154.57,male,0,0,1
47,63.84,male,0,0,1
38,128.57,male,0,0,1
46,128.17,female,0,0,1
19,121.54,male,0,0,0
51,165.45,male,1,0,0
16,70.87,female,0,0,1
10,78.48,male,0,0,1
35,85.28,male,0,0,1
45,631.28,female,0,0,1
14,52.38,male,0,1,1
36,69.45,male,0,0,1
21,84.2,female,0,0,0
29,113.12,male,0,0,1
26,87.92,male,0,0,1
13,62.57,male,0,0,0
53,64.36,male,0,0,0
49,62.31,male,0,0,1
29,632.41,male,0,0,1
54,143.44,female,0,0,1
20,63.96,female,0,1,0
47,57.62,male,0,0,0
35,49.12,male,1,0,1
19,50.02,female,1,0,0
68,273.28,male,1,0,1
24,27.04,female,0,0,1
31,223.95,male,0,0,1
25,56.94,female,1,0,0
96,420.56,male,0,0,1
35,124.66,female,0,0,1
5,49.01,male,0,0,1
26,63.79,male,1,1,0
94,98.56,female,0,1,1
16,40.42,female,0,1,1
22,79.42,male,0,1,0
32,36.35,female,0,0,0
16,45.73,female,1,0,0
28,81.86,female,0,0,1
20,38.91,female,0,0,1
14,44.23,female,0,0,0
29,128.7,female,0,0,1
24,123.15,female,0,1,0
24,79.54,male,0,0,1
15,92.3,female,1,0,1
22,36.95,female,0,0,0
33,48.49,female,0,0,1
33,269.47,male,0,0,1
16,53.24,female,0,0,1
76,103.52,male,0,0,1
13,60.88,female,0,1,0
9,62.68,male,0,0,0
44,193.46,male,0,0,1
19,61.09,male,0,1,0
35,44.92,female,0,0,1
45,106.55,male,0,0,1
17,56.11,female,0,0,0
36,85.99,male,1,0,1
27,46.34,female,0,0,0
15,31.65,male,0,1,0
65,49.86,female,0,0,1
24,91.9,male,0,0,1
21,35.78,male,0,0,1
39,46.81,female,1,0,1
27,150.67,male,1,0,0
15,44.17,female,0,1,0
27,112.49,female,0,1,0
31,124.75,female,0,1,1
30,187.39,female,0,0,1
57,64.6,female,0,0,0
65,48.6,female,0,0,0
17,30.64,male,0,0,1
31,41.27,male,0,1,1
47,26.5,female,1,0,0
47,60.52,female,1,0,0
27,50.83,female,0,0,0
38,113.42,male,0,0,1
43,33.84,female,0,0,0
32,36.57,female,1,0,1
22,124.26,female,0,0,1
30,85.35,female,1,0,1
19,60.23,female,0,0,1
55,744.38,female,1,0,0
38,85.4,male,0,0,1
16,56.53,male,0,0,1
37,35.22,female,1,0,0
74,65.61,male,0,0,1
40,50.74,female,0,0,0
34,49.45,male,0,0,1
41,70.92,male,0,0,1
31,125.07,female,0,1,0
63,74.87,female,0,0,1
45,146.34,male,0,0,0
25,24.76,female,0,0,1
51,160.74,male,0,0,1
15,131.1,male,0,0,0
27,85.06,male,0,0,1
7,80.92,female,0,0,1
34,106.45,male,0,1,1
65,44.89,female,0,0,0
12,41.51,female,0,0,1
40,27.64,male,0,0,0
20,419.5,female,0,1,1
11,73.89,female,0,0,0
31,46.21,female,0,0,1
88,235.15,female,1,0,0
26,50.23,female,0,1,0
51,69.76,male,0,0,1
38,67.93,female,0,1,0
71,419.88,female,0,0,1
51,41.92,female,0,0,1
18,60.52,male,0,1,0
50,79.63,female,0,1,1
29,57.23,female,0,0,1
41,47.83,female,0,0,1
24,128.15,female,0,0,0
18,217.44,female,0,1,1
48,48.24,female,0,0,0
61,36.65,male,0,0,0
51,167.03,female,1,0,0
66,181.09,male,0,1,1
48,83.62,male,0,0,0
13,121.03,female,0,1,0
27,192.29,male,0,0,0
56,37.7,male,0,0,0
20,72.96,male,0,0,1
23,57.5,female,0,0,1
3,54.72,female,0,0,1
7,55.1,male,0,0,0
16,44.52,female,0,0,1
32,40.74,male,0,0,1
32,153.73,male,0,1,1
12,52.71,male,0,0,1
36,81.96,male,1,0,1
28,110.6,female,0,0,1
12,35.74,female,0,0,1
29,63.56,female,0,0,0
52,144.86,female,0,0,1
46,52.72,female,0,0,1
39,76.05,male,0,0,0
31,120.19,male,1,0,1
49,97.66,male,0,0,1
59,82.47,male,0,0,1
20,114.43,male,0,0,1
31,109.68,female,0,0,1
13,110.51,female,0,0,0
31,48.89,male,0,0,0
48,61.88,female,0,0,0
44,69.83,female,0,0,0
42,48.21,female,0,0,1
7,54.08,male,0,0,1
30,117.72,female,0,0,1
48,44.9,female,0,0,1
54,30.2,male,0,0,0
40,62.53,female,1,0,1
12,104.32,female,0,0,1
24,76.1,female,0,0,0
54,62.48,male,0,1,1
36,119.64,male,0,1,1
16,82.67,female,0,0,1
39,103.9,female,0,0,1
24,65.04,female,0,0,1
11,54.16,male,0,0,1
16,130.13,female,0,1,0
23,160.84,female,0,0,0
26,18.52,male,0,0,0
18,105.52,female,0,0,1
6,43.15,female,1,0,0
38,82.06,female,0,0,1
43,69.46,female,0,0,0
52,151.04,male,0,0,1
23,65.97,female,0,0,1
16,63.94,female,1,0,0
40,139.42,male,0,0,1
29,67.28,female,0,0,1
49,66.71,female,0,1,0
46,57.27,male,0,0,1
8,90.31,male,0,0,1
27,71.56,female,0,0,0
43,32.84,female,0,0,1
14,107.79,male,0,0,0
42,39.04,female,0,1,0
25,62.94,female,0,0,0
37,87.84,female,0,0,1
12,80.8,male,0,1,0
28,81.38,female,0,0,1
11,62.38,female,0,0,0
69,66.07,female,0,1,0
39,59.55,male,1,0,0
8,44.25,female,0,0,1
8,67.57,male,0,0,1
20,105.45,female,0,1,0
29,102.8,female,0,0,1
13,56.38,female,0,0,0
5,97.28,female,1,0,0
56,57.24,female,0,0,1
48,37.01,female,0,0,0
8,35.82,male,1,0,1
11,50.99,female,0,0,0
63,49.96,female,0,0,1
66,86.7,female,0,0,0
53,82.39,female,0,0,0
8,95.03,female,0,1,1
54,91,male,1,0,1
17,57.8,female,0,0,0
46,232.91,male,0,0,1
30,40.16,female,1,0,0
27,68.95,male,0,1,1
54,43.27,male,0,1,0
71,71.99,female,1,0,0
20,58.28,male,0,1,0
17,151.15,male,0,1,1
32,120.02,female,0,0,1
14,42.78,female,0,0,1
53,24.61,female,0,0,0
64,173.96,male,0,0,1
25,61.44,male,0,0,1
71,41.92,female,0,0,1
27,46.88,male,0,0,1
46,138.28,male,1,0,1
18,142.15,female,0,0,1
22,34.76,male,1,0,1
57,35.84,female,0,0,0
55,89.5,female,0,0,1
76,58.42,female,0,0,1
65,95.13,male,0,1,1
57,91.3,female,0,1,1
39,100.07,female,1,1,1
20,42.81,female,0,0,0
49,111.23,male,0,0,0
21,118.1,female,0,0,1
26,57.25,female,1,0,1
29,60.42,female,0,1,0
34,42.74,female,0,1,1
38,46.23,female,1,0,0
27,60.07,male,0,1,0
38,85.45,male,0,0,1
37,91.99,male,1,0,1
27,64.23,male,0,0,1
10,92.75,female,0,1,1
13,275.18,female,1,1,0
49,57.21,female,0,0,1
13,94.49,male,0,0,1
53,86.88,female,0,0,1
23,112.91,female,0,0,1
23,55.78,female,0,0,1
16,66.78,female,0,0,1
59,85.99,female,0,1,1
19,66.71,female,1,1,0
13,48.54,female,0,0,0
30,102.42,female,0,0,1
72,285.84,female,0,1,1
39,114.2,female,0,1,0
28,33.44,female,0,0,0
12,93.75,female,1,0,0
19,53.52,female,0,0,0
30,143.64,female,0,0,1
53,43.2,male,0,0,1
37,71.87,female,0,0,1
30,90.86,female,0,0,1
28,66.43,female,0,1,1
32,148.41,female,0,0,1
47,78.96,male,0,0,1
25,95.93,male,0,0,1
38,69.46,female,0,1,0
32,137.1,female,1,0,1
41,79.62,female,1,1,0
13,51.23,female,0,0,0
71,24.79,male,0,0,0
29,124.14,male,0,0,0
38,58.21,male,1,1,0
21,60.2,female,1,1,1
55,64.62,female,0,1,1
32,104.55,female,0,0,1
24,40.29,female,0,0,0
48,90.72,female,0,0,1
45,23.8,male,0,0,0
18,79.33,male,0,0,1
29,85.95,female,0,0,1
36,37.25,female,0,0,0
8,92.74,female,0,0,0
74,120.48,male,0,0,1
19,147.47,female,0,0,1
34,57.63,male,1,0,0
43,94.8,male,0,0,1
51,70.15,female,0,0,0
49,215.11,male,0,1,0
8,41.87,female,0,0,1
40,38.04,female,0,0,1
12,96.4,female,0,1,0
68,75.11,male,0,0,1
29,115.25,male,1,0,0
67,128.97,male,0,0,1
27,75.58,female,0,1,1
21,54.52,female,0,0,0
42,47.89,female,0,0,1
44,119.37,female,0,0,1
27,73.46,female,0,1,0
11,99.8,female,0,1,1
33,70.35,male,0,0,0
45,71.11,female,0,0,0
48,40.83,female,0,0,1
36,46.72,female,0,0,0
27,32.6,female,0,0,0
56,132.89,female,1,0,1
56,100.75,male,0,0,1
32,73.84,female,0,0,1
41,82.44,female,1,1,0
34,73.72,female,0,0,1
40,98.7,female,1,1,1
36,70.77,female,1,1,1
22,95.01,female,0,0,1
23,76.99,female,0,0,0
20,72.49,male,0,0,1
48,82.31,female,1,0,1
6,79.3,male,0,0,1
18,38.81,male,0,0,1
57,115.88,female,0,0,0
21,68.89,female,0,0,0
25,41.93,female,1,0,0
72,92.69,female,0,1,1
28,80.66,female,0,0,1
37,55.37,male,0,1,1
64,112.69,female,0,0,0
60,109.56,female,1,1,0
19,85.15,female,0,0,1
15,57.48,female,0,1,0
50,49.54,female,0,0,0
59,90.84,female,0,0,0
42,80.53,female,0,0,1
57,68.89,female,0,0,0
34,64.48,female,0,0,0
22,53.66,female,1,0,1
48,75.53,female,0,1,1
36,35.63,female,0,1,1
20,86.55,male,0,0,0
52,122.11,female,0,0,1
64,230.49,male,0,1,1
90,91.99,male,0,0,0
21,156.05,female,0,0,1
27,61.11,female,0,0,0
19,69.86,female,0,1,1
39,61.48,female,0,0,0
11,63.61,female,0,1,0
5,71.05,female,0,0,1
31,100.82,male,0,0,1
24,129.98,male,1,1,0
35,128.12,male,0,0,1
44,135.88,female,0,0,0
12,41.21,male,1,1,0
81,54.06,female,1,0,0
47,66.48,female,0,1,0
48,105.8,female,0,0,1
57,73.61,female,0,0,1
